date,year,month,day,icpiu,iip,ru3
1948-01-01,1948,1,1,23.680,14.3624,3.4
1948-02-01,1948,2,1,23.670,14.3893,3.8
1948-03-01,1948,3,1,23.500,14.2277,4.0
1948-04-01,1948,4,1,23.820,14.2546,3.9
1948-05-01,1948,5,1,24.010,14.4971,3.5
1948-06-01,1948,6,1,24.150,14.6857,3.6
1948-07-01,1948,7,1,24.400,14.6857,3.6
1948-08-01,1948,8,1,24.430,14.6318,3.9
1948-09-01,1948,9,1,24.360,14.5241,3.8
1948-10-01,1948,10,1,24.310,14.6319,3.7
1948-11-01,1948,11,1,24.160,14.4432,3.8
1948-12-01,1948,12,1,24.050,14.3085,4.0
1949-01-01,1949,1,1,24.010,14.1738,4.3
1949-02-01,1949,2,1,23.910,14.039,4.7
1949-03-01,1949,3,1,23.910,13.7696,5.0
1949-04-01,1949,4,1,23.920,13.6887,5.3
1949-05-01,1949,5,1,23.910,13.5001,6.1
1949-06-01,1949,6,1,23.920,13.4732,6.2
1949-07-01,1949,7,1,23.700,13.4462,6.7
1949-08-01,1949,8,1,23.700,13.5809,6.8
1949-09-01,1949,9,1,23.750,13.7157,6.6
1949-10-01,1949,10,1,23.670,13.2037,7.9
1949-11-01,1949,11,1,23.700,13.554,6.4
1949-12-01,1949,12,1,23.610,13.7965,6.6
1950-01-01,1950,1,1,23.510,14.039,6.5
1950-02-01,1950,2,1,23.610,14.0929,6.4
1950-03-01,1950,3,1,23.640,14.551,6.3
1950-04-01,1950,4,1,23.650,15.036,5.8
1950-05-01,1950,5,1,23.770,15.3863,5.5
1950-06-01,1950,6,1,23.880,15.8444,5.4
1950-07-01,1950,7,1,24.070,16.3564,5.0
1950-08-01,1950,8,1,24.200,16.8684,4.5
1950-09-01,1950,9,1,24.340,16.7606,4.4
1950-10-01,1950,10,1,24.500,16.8684,4.2
1950-11-01,1950,11,1,24.600,16.8415,4.2
1950-12-01,1950,12,1,24.980,17.1379,4.3
1951-01-01,1951,1,1,25.380,17.1917,3.7
1951-02-01,1951,2,1,25.830,17.2995,3.4
1951-03-01,1951,3,1,25.880,17.3804,3.4
1951-04-01,1951,4,1,25.920,17.4073,3.1
1951-05-01,1951,5,1,25.990,17.3534,3.0
1951-06-01,1951,6,1,25.930,17.2726,3.2
1951-07-01,1951,7,1,25.910,17.0031,3.1
1951-08-01,1951,8,1,25.860,16.8415,3.1
1951-09-01,1951,9,1,26.030,16.9492,3.3
1951-10-01,1951,10,1,26.160,16.9223,3.5
1951-11-01,1951,11,1,26.320,17.057,3.5
1951-12-01,1951,12,1,26.470,17.1648,3.1
1952-01-01,1952,1,1,26.450,17.3534,3.2
1952-02-01,1952,2,1,26.410,17.4612,3.1
1952-03-01,1952,3,1,26.390,17.5151,2.9
1952-04-01,1952,4,1,26.460,17.3534,2.9
1952-05-01,1952,5,1,26.470,17.1918,3.0
1952-06-01,1952,6,1,26.530,17.0301,3.0
1952-07-01,1952,7,1,26.680,16.7606,3.2
1952-08-01,1952,8,1,26.690,17.8385,3.4
1952-09-01,1952,9,1,26.630,18.4852,3.1
1952-10-01,1952,10,1,26.690,18.6738,3.0
1952-11-01,1952,11,1,26.690,19.0511,2.8
1952-12-01,1952,12,1,26.710,19.1588,2.7
1953-01-01,1953,1,1,26.640,19.2127,2.9
1953-02-01,1953,2,1,26.590,19.3205,2.6
1953-03-01,1953,3,1,26.630,19.4822,2.6
1953-04-01,1953,4,1,26.690,19.563,2.7
1953-05-01,1953,5,1,26.700,19.6708,2.5
1953-06-01,1953,6,1,26.770,19.59,2.5
1953-07-01,1953,7,1,26.790,19.8325,2.6
1953-08-01,1953,8,1,26.850,19.7247,2.7
1953-09-01,1953,9,1,26.890,19.3205,2.9
1953-10-01,1953,10,1,26.950,19.1588,3.1
1953-11-01,1953,11,1,26.850,18.7008,3.5
1953-12-01,1953,12,1,26.870,18.2427,4.5
1954-01-01,1954,1,1,26.940,18.1079,4.9
1954-02-01,1954,2,1,26.990,18.1618,5.2
1954-03-01,1954,3,1,26.930,18.054,5.7
1954-04-01,1954,4,1,26.860,17.9462,5.9
1954-05-01,1954,5,1,26.930,18.054,5.9
1954-06-01,1954,6,1,26.940,18.1079,5.6
1954-07-01,1954,7,1,26.860,18.1349,5.8
1954-08-01,1954,8,1,26.850,18.1079,6.0
1954-09-01,1954,9,1,26.810,18.1349,6.1
1954-10-01,1954,10,1,26.720,18.3505,5.7
1954-11-01,1954,11,1,26.780,18.6469,5.3
1954-12-01,1954,12,1,26.770,18.8894,5.0
1955-01-01,1955,1,1,26.770,19.3205,4.9
1955-02-01,1955,2,1,26.820,19.563,4.7
1955-03-01,1955,3,1,26.790,20.0211,4.6
1955-04-01,1955,4,1,26.790,20.2636,4.7
1955-05-01,1955,5,1,26.770,20.587,4.3
1955-06-01,1955,6,1,26.710,20.6139,4.2
