date,year,month,day,rgdp
1947-01-01,1947,1,1,2034.450
1947-04-01,1947,4,1,2029.024
1947-07-01,1947,7,1,2024.834
1947-10-01,1947,10,1,2056.508
1948-01-01,1948,1,1,2087.442
1948-04-01,1948,4,1,2121.899
1948-07-01,1948,7,1,2134.056
1948-10-01,1948,10,1,2136.440
1949-01-01,1949,1,1,2107.001
1949-04-01,1949,4,1,2099.814
1949-07-01,1949,7,1,2121.493
1949-10-01,1949,10,1,2103.688
1950-01-01,1950,1,1,2186.365
1950-04-01,1950,4,1,2253.045
1950-07-01,1950,7,1,2340.112
1950-10-01,1950,10,1,2384.920
1951-01-01,1951,1,1,2417.311
1951-04-01,1951,4,1,2459.196
1951-07-01,1951,7,1,2509.880
1951-10-01,1951,10,1,2515.408
1952-01-01,1952,1,1,2542.286
1952-04-01,1952,4,1,2547.762
1952-07-01,1952,7,1,2566.153
1952-10-01,1952,10,1,2650.431
1953-01-01,1953,1,1,2699.699
1953-04-01,1953,4,1,2720.566
1953-07-01,1953,7,1,2705.258
1953-10-01,1953,10,1,2664.302
1954-01-01,1954,1,1,2651.566
1954-04-01,1954,4,1,2654.456
1954-07-01,1954,7,1,2684.434
1954-10-01,1954,10,1,2736.960
1955-01-01,1955,1,1,2815.134
1955-04-01,1955,4,1,2860.942
1955-07-01,1955,7,1,2899.578
1955-10-01,1955,10,1,2916.985
1956-01-01,1956,1,1,2905.656
1956-04-01,1956,4,1,2929.666
1956-07-01,1956,7,1,2927.034
1956-10-01,1956,10,1,2975.209
1957-01-01,1957,1,1,2994.259
1957-04-01,1957,4,1,2987.699
1957-07-01,1957,7,1,3016.979
1957-10-01,1957,10,1,2985.775
1958-01-01,1958,1,1,2908.281
1958-04-01,1958,4,1,2927.395
1958-07-01,1958,7,1,2995.112
1958-10-01,1958,10,1,3065.141
1959-01-01,1959,1,1,3123.978
1959-04-01,1959,4,1,3194.429
1959-07-01,1959,7,1,3196.683
1959-10-01,1959,10,1,3205.790
1960-01-01,1960,1,1,3277.847
1960-04-01,1960,4,1,3260.177
1960-07-01,1960,7,1,3276.133
1960-10-01,1960,10,1,3234.087
1961-01-01,1961,1,1,3255.914
1961-04-01,1961,4,1,3311.181
1961-07-01,1961,7,1,3374.742
1961-10-01,1961,10,1,3440.924
1962-01-01,1962,1,1,3502.298
1962-04-01,1962,4,1,3533.947
1962-07-01,1962,7,1,3577.362
1962-10-01,1962,10,1,3589.128
1963-01-01,1963,1,1,3628.306
1963-04-01,1963,4,1,3669.020
1963-07-01,1963,7,1,3749.681
1963-10-01,1963,10,1,3774.264
1964-01-01,1964,1,1,3853.835
1964-04-01,1964,4,1,3895.793
1964-07-01,1964,7,1,3956.657
1964-10-01,1964,10,1,3968.878
1965-01-01,1965,1,1,4064.915
1965-04-01,1965,4,1,4116.267
1965-07-01,1965,7,1,4207.782
1965-10-01,1965,10,1,4304.731
1966-01-01,1966,1,1,4409.518
1966-04-01,1966,4,1,4424.581
1966-07-01,1966,7,1,4462.053
1966-10-01,1966,10,1,4498.660
1967-01-01,1967,1,1,4538.498
1967-04-01,1967,4,1,4541.280
1967-07-01,1967,7,1,4584.246
1967-10-01,1967,10,1,4618.812
1968-01-01,1968,1,1,4713.013
1968-04-01,1968,4,1,4791.758
1968-07-01,1968,7,1,4828.892
1968-10-01,1968,10,1,4847.885
1969-01-01,1969,1,1,4923.760
1969-04-01,1969,4,1,4938.728
1969-07-01,1969,7,1,4971.349
1969-10-01,1969,10,1,4947.104
1970-01-01,1970,1,1,4939.759
1970-04-01,1970,4,1,4946.770
1970-07-01,1970,7,1,4992.357
1970-10-01,1970,10,1,4938.857
1971-01-01,1971,1,1,5072.996
1971-04-01,1971,4,1,5100.447
1971-07-01,1971,7,1,5142.422
1971-10-01,1971,10,1,5154.547
1972-01-01,1972,1,1,5249.337
1972-04-01,1972,4,1,5368.485
1972-07-01,1972,7,1,5419.184
1972-10-01,1972,10,1,5509.926
1973-01-01,1973,1,1,5646.286
1973-04-01,1973,4,1,5707.755
1973-07-01,1973,7,1,5677.738
1973-10-01,1973,10,1,5731.632
1974-01-01,1974,1,1,5682.353
1974-04-01,1974,4,1,5695.859
1974-07-01,1974,7,1,5642.025
1974-10-01,1974,10,1,5620.126
1975-01-01,1975,1,1,5551.713
1975-04-01,1975,4,1,5591.382
1975-07-01,1975,7,1,5687.087
1975-10-01,1975,10,1,5763.665
